Date/Time,B1F_PUBLIC:Zone Mean Air Temperature [C](Hourly),B1F_PUBLIC:Zone Air Heat Balance Surface Convection Rate [W](Hourly),B1F_PUBLIC:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),B1F_RETAIL:Zone Mean Air Temperature [C](Hourly),B1F_RETAIL:Zone Air Heat Balance Surface Convection Rate [W](Hourly),B1F_RETAIL:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),B1F_PUBLIC:Zone Air Relative Humidity [%](Hourly),B1F_PUBLIC:Zone Air System Sensible Heating Energy [J](Hourly),B1F_PUBLIC:Zone Air System Sensible Cooling Energy [J](Hourly),B1F_PUBLIC:Zone Air System Sensible Heating Rate [W](Hourly),B1F_PUBLIC:Zone Air System Sensible Cooling Rate [W](Hourly),B1F_RETAIL:Zone Air Relative Humidity [%](Hourly),B1F_RETAIL:Zone Air System Sensible Heating Energy [J](Hourly),B1F_RETAIL:Zone Air System Sensible Cooling Energy [J](Hourly),B1F_RETAIL:Zone Air System Sensible Heating Rate [W](Hourly),B1F_RETAIL:Zone Air System Sensible Cooling Rate [W](Hourly) 
 01/01  01:00:00,18.273286802852372,-1678.732954903986,-1669.486270977769,19.008527433257264,-6076.639623730923,-6016.862981117467,45.030406150544295,0.0,0.0,0.0,0.0,43.00370431605046,0.0,0.0,0.0,0.0 
 01/01  02:00:00,17.646116361677926,-1486.0261410383473,-1529.8075091959408,18.46381649725138,-6435.547573503291,-6406.001660133958,46.84252157568706,0.0,0.0,0.0,0.0,44.49450220378762,0.0,0.0,0.0,0.0 
 01/01  03:00:00,17.102114722022666,-1333.4439875030994,-1347.0508865788815,17.896136745864695,-6647.400034097462,-6633.454345077165,48.480959719260234,0.0,0.0,0.0,0.0,46.110162710944394,0.0,0.0,0.0,0.0 
 01/01  04:00:00,16.60443211699827,-1236.0315781178087,-1248.355295219196,17.326892906647732,-6418.563426383669,-6483.042808349362,50.036644564527435,0.0,0.0,0.0,0.0,47.79639553151023,0.0,0.0,0.0,0.0 
 01/01  05:00:00,16.147677858332536,-1118.2341812745071,-1134.8413324027645,16.795922628593697,-5859.556146840766,-5939.933060274804,51.51378366980629,0.0,0.0,0.0,0.0,49.431630411274156,0.0,0.0,0.0,0.0 
 01/01  06:00:00,15.734743322157788,-1027.7921097778049,-1036.353280694953,16.31601246362964,-5300.141106164498,-5366.478635346414,52.891521561968645,0.0,0.0,0.0,0.0,50.96381573769119,0.0,0.0,0.0,0.0 
 01/01  07:00:00,15.346757389734353,-987.4608143294261,-991.490012632607,15.878307154667308,-4906.6446174744815,-4949.529361254737,54.22394944941257,0.0,0.0,0.0,0.0,52.407985315072196,0.0,0.0,0.0,0.0 
 01/01  08:00:00,14.972766039492887,-945.1887309691188,-953.7368975792185,15.469140972518826,-4625.536884105297,-4663.045907677606,55.54405970596227,0.0,0.0,0.0,0.0,53.79971905604344,0.0,0.0,0.0,0.0 
 01/01  09:00:00,14.638643025368438,-742.7378617819265,-784.5706040678987,15.091383046892378,-4087.9259995832354,-4190.647339670873,56.753589323864546,0.0,0.0,0.0,0.0,55.12137050460376,0.0,0.0,0.0,0.0 
 01/01  10:00:00,14.459970048450877,-113.05695846180492,-213.5231204107178,14.800782049386472,-2464.005554818077,-2741.68423220904,57.411924411519266,0.0,0.0,0.0,0.0,56.162360465078784,0.0,0.0,0.0,0.0 
